hid,nombrehotel,direccionhotel,telefono,nombreciudad
10,Hilton Florence Metropole,"518 Hall Dam New Jesse, NM 01087",233-347-518,Florencia
13,CitizenM Paris,"833 Flores Key Suite 707 South Elizabethchester, IA 08393",799-491-215,París
20,The Sanctuary House Hotel,"1281 Robert Mountain Schneidermouth, HI 23898",698-634-912,Westminster
15,Le cocon de Leon,"8927 Hurst Harbor Apt. 156 Timothyfort, CA 72308",485-531-155,Nancy
3,Domo Vaticano,"7802 Scott Garden Apt. 827 Jerryport, WI 13545",647-252-126,Roma
9,Hotel Jane,"65223 Valdez Viaduct Lake Seanview, WY 97324",214-454-587,Florencia
18,PitufiHotel,"PSC 3268, Box 6667 APO AE 63637",241-126-819,Antwerp
15,Le cocon de Leon,"8927 Hurst Harbor Apt. 156 Timothyfort, CA 72308",485-531-155,Nancy
2,Palazzo Coliseo,"8183 Michael Glen Apt. 437 Petersonland, VA 66579",771-764-467,Roma
20,The Sanctuary House Hotel,"1281 Robert Mountain Schneidermouth, HI 23898",698-634-912,Westminster
16,Royal Hotel,"37962 Sanders Circles Apt. 357 Port Timothy, TN 24656",315-196-562,Bruselas
13,CitizenM Paris,"833 Flores Key Suite 707 South Elizabethchester, IA 08393",799-491-215,París
7,Hotel delle Nazioni,"511 Karen Neck Terriborough, WV 55292",321-718-523,Florencia
1,Hotel Roma,"PSC 1716, Box 5186 APO AP 18920",294-527-692,Roma
1,Hotel Roma,"PSC 1716, Box 5186 APO AP 18920",294-527-692,Roma
19,B&B Hotel Dresden,"703 Garcia Drive Suite 239 West Carolside, NV 09666",633-564-612,Dresde
9,Hotel Jane,"65223 Valdez Viaduct Lake Seanview, WY 97324",214-454-587,Florencia
17,Hotel Phenix,Unit 6357 Box 9808 DPO AA 45781,282-833-326,Bruselas
9,Hotel Jane,"65223 Valdez Viaduct Lake Seanview, WY 97324",214-454-587,Florencia
21,Hotel Rex Milano,"71677 Theresa Fields Chadchester, TN 58947",527-989-688,Milán
12,Eiffel Hotel,"PSC 4851, Box 9887 APO AP 86712",717-744-934,París
17,Hotel Phenix,Unit 6357 Box 9808 DPO AA 45781,282-833-326,Bruselas
18,PitufiHotel,"PSC 3268, Box 6667 APO AE 63637",241-126-819,Antwerp
14,Hyatt Regency Chantilly,"9381 Melissa Walks Apt. 623 Port Barbarafurt, MI 38305",441-127-177,Chantilly
5,DomusAmor Navona,"47081 Rosales Islands Suite 864 Port Sydney, UT 33108",998-171-811,Roma
13,CitizenM Paris,"833 Flores Key Suite 707 South Elizabethchester, IA 08393",799-491-215,París
18,PitufiHotel,"PSC 3268, Box 6667 APO AE 63637",241-126-819,Antwerp
4,Hotel Trastevere,Unit 5444 Box 3960 DPO AE 23180,738-387-267,Roma
18,PitufiHotel,"PSC 3268, Box 6667 APO AE 63637",241-126-819,Antwerp
3,Domo Vaticano,"7802 Scott Garden Apt. 827 Jerryport, WI 13545",647-252-126,Roma
16,Royal Hotel,"37962 Sanders Circles Apt. 357 Port Timothy, TN 24656",315-196-562,Bruselas
15,Le cocon de Leon,"8927 Hurst Harbor Apt. 156 Timothyfort, CA 72308",485-531-155,Nancy
12,Eiffel Hotel,"PSC 4851, Box 9887 APO AP 86712",717-744-934,París
3,Domo Vaticano,"7802 Scott Garden Apt. 827 Jerryport, WI 13545",647-252-126,Roma
8,Hotel Alba Palace,"8300 Kemp Gateway Suite 979 Blackhaven, WV 71663",745-819-474,Florencia
4,Hotel Trastevere,Unit 5444 Box 3960 DPO AE 23180,738-387-267,Roma
18,PitufiHotel,"PSC 3268, Box 6667 APO AE 63637",241-126-819,Antwerp
16,Royal Hotel,"37962 Sanders Circles Apt. 357 Port Timothy, TN 24656",315-196-562,Bruselas
12,Eiffel Hotel,"PSC 4851, Box 9887 APO AP 86712",717-744-934,París
18,PitufiHotel,"PSC 3268, Box 6667 APO AE 63637",241-126-819,Antwerp
3,Domo Vaticano,"7802 Scott Garden Apt. 827 Jerryport, WI 13545",647-252-126,Roma
12,Eiffel Hotel,"PSC 4851, Box 9887 APO AP 86712",717-744-934,París
